,venue,innings,batting_team,bowling_team,total_runs
170,Kingsmead,1,Rajasthan Royals,Kings XI Punjab,57
171,Kingsmead,2,Kings XI Punjab,Rajasthan Royals,29
172,Kingsmead,1,Kolkata Knight Riders,Delhi Daredevils,54
173,Kingsmead,2,Delhi Daredevils,Kolkata Knight Riders,57
174,SuperSport Park,1,Deccan Chargers,Mumbai Indians,37
175,SuperSport Park,2,Mumbai Indians,Deccan Chargers,41
176,SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,29
177,SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,31
178,SuperSport Park,1,Chennai Super Kings,Kings XI Punjab,57
179,SuperSport Park,2,Kings XI Punjab,Chennai Super Kings,52
180,Buffalo Park,1,Mumbai Indians,Delhi Daredevils,30
181,Buffalo Park,2,Delhi Daredevils,Mumbai Indians,36
182,De Beers Diamond Oval,1,Deccan Chargers,Kings XI Punjab,52
183,De Beers Diamond Oval,2,Kings XI Punjab,Deccan Chargers,45
184,De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,34
185,De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,37
186,St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,46
187,St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,39
188,New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Daredevils,33
189,New Wanderers Stadium,2,Delhi Daredevils,Kolkata Knight Riders,47
190,De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,42
191,De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,30
192,SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,38
193,SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,46
194,SuperSport Park,1,Kings XI Punjab,Mumbai Indians,51
195,SuperSport Park,2,Mumbai Indians,Kings XI Punjab,42
196,Kingsmead,1,Delhi Daredevils,Deccan Chargers,56
197,Kingsmead,2,Deccan Chargers,Delhi Daredevils,50
198,Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,52
199,Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,33
200,Kingsmead,1,Rajasthan Royals,Mumbai Indians,42
201,Kingsmead,2,Mumbai Indians,Rajasthan Royals,26
202,OUTsurance Oval,1,Delhi Daredevils,Kings XI Punjab,37
203,OUTsurance Oval,2,Kings XI Punjab,Delhi Daredevils,37
204,St George's Park,1,Mumbai Indians,Chennai Super Kings,49
205,St George's Park,2,Chennai Super Kings,Mumbai Indians,35
206,New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,31
207,New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,50
208,New Wanderers Stadium,1,Kings XI Punjab,Deccan Chargers,39
209,New Wanderers Stadium,2,Deccan Chargers,Kings XI Punjab,46
210,OUTsurance Oval,1,Delhi Daredevils,Rajasthan Royals,35
211,OUTsurance Oval,2,Rajasthan Royals,Delhi Daredevils,24
212,SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,54
213,SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,56
214,New Wanderers Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,37
215,New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,27
216,Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,46
217,Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,29
218,Kingsmead,1,Chennai Super Kings,Kings XI Punjab,50
219,Kingsmead,2,Kings XI Punjab,Chennai Super Kings,29
220,SuperSport Park,1,Mumbai Indians,Delhi Daredevils,30
221,SuperSport Park,2,Delhi Daredevils,Mumbai Indians,60
222,SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,33
223,SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,64
224,SuperSport Park,1,Delhi Daredevils,Deccan Chargers,49
225,SuperSport Park,2,Deccan Chargers,Delhi Daredevils,83
226,New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,52
227,New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,59
228,New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,31
229,New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,36
230,Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,38
231,Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,62
232,Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,69
233,Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,39
234,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,44
235,"Punjab Cricket Association Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,39
236,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,24
237,Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,61
238,"MA Chidambaram Stadium, Chepauk",1,Deccan Chargers,Chennai Super Kings,57
239,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Deccan Chargers,34
240,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,47
241,"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,60
242,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,50
243,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,61
244,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,31
245,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,45
246,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,67
247,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,56
248,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31
249,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59
250,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,52
251,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,56
252,Barabati Stadium,1,Deccan Chargers,Kings XI Punjab,56
253,Barabati Stadium,2,Kings XI Punjab,Deccan Chargers,27
254,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,56
255,"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,38
256,Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,45
257,Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55
258,Barabati Stadium,1,Deccan Chargers,Delhi Daredevils,47
259,Barabati Stadium,2,Delhi Daredevils,Deccan Chargers,48
260,"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,38
261,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,42
262,Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,37
263,Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,57
264,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,38
265,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,29
266,"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,53
267,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,75
268,Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,51
269,Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,63
270,"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,55
271,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,54
272,"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Kings XI Punjab,50
273,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Kolkata Knight Riders,42
274,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,64
275,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,42
276,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,58
277,"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,58
278,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,52
279,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,50
280,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,62
281,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,36
282,Brabourne Stadium,1,Kings XI Punjab,Mumbai Indians,48
283,Brabourne Stadium,2,Mumbai Indians,Kings XI Punjab,44
284,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,51
285,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,56
286,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,52
287,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,39
288,Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46
289,Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,59
290,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,41
291,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,51
292,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,66
293,"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,62
294,Brabourne Stadium,1,Mumbai Indians,Deccan Chargers,53
295,Brabourne Stadium,2,Deccan Chargers,Mumbai Indians,40
296,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,53
297,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,69
298,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,54
299,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,38
300,"Vidarbha Cricket Association Stadium, Jamtha",1,Rajasthan Royals,Deccan Chargers,48
301,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Rajasthan Royals,52
302,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,42
303,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,46
304,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,52
305,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,70
306,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
307,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,44
308,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46
309,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,32
310,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,51
311,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,56
312,"Vidarbha Cricket Association Stadium, Jamtha",1,Chennai Super Kings,Deccan Chargers,55
313,"Vidarbha Cricket Association Stadium, Jamtha",2,Deccan Chargers,Chennai Super Kings,37
314,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,60
315,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,48
316,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,45
317,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,39
318,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,47
319,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,33
320,"Vidarbha Cricket Association Stadium, Jamtha",1,Deccan Chargers,Royal Challengers Bangalore,35
321,"Vidarbha Cricket Association Stadium, Jamtha",2,Royal Challengers Bangalore,Deccan Chargers,37
322,Brabourne Stadium,1,Mumbai Indians,Delhi Daredevils,44
323,Brabourne Stadium,2,Delhi Daredevils,Mumbai Indians,68
324,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,22
325,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,67
326,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,30
327,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59
328,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,39
329,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,33
330,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Deccan Chargers,43
331,Himachal Pradesh Cricket Association Stadium,2,Deccan Chargers,Kings XI Punjab,45
332,M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,34
333,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,34
334,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,46
335,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,42
336,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,49
337,Himachal Pradesh Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,49
338,Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,38
339,Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,39
340,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,42
341,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,44
342,Dr DY Patil Sports Academy,1,Mumbai Indians,Royal Challengers Bangalore,54
343,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Mumbai Indians,44
344,Dr DY Patil Sports Academy,1,Chennai Super Kings,Deccan Chargers,39
345,Dr DY Patil Sports Academy,2,Deccan Chargers,Chennai Super Kings,23
346,Dr DY Patil Sports Academy,1,Deccan Chargers,Royal Challengers Bangalore,27
347,Dr DY Patil Sports Academy,2,Royal Challengers Bangalore,Deccan Chargers,32
348,Dr DY Patil Sports Academy,1,Chennai Super Kings,Mumbai Indians,39
349,Dr DY Patil Sports Academy,2,Mumbai Indians,Chennai Super Kings,32
350,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,45
351,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,51
352,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,44
